pickup_datetime,dropoff_datetime,passenger_count,trip_distance
2023-01-05 03:31:58,2023-01-01 03:52:16,2,4.30
2023-01-05 03:08:39,2023-01-01 03:23:32,1,6.74
2023-01-05 03:11:03,2023-01-01 03:11:09,2,0.04
2023-01-05 03:28:59,2023-01-01 03:29:04,1,0.12
2023-01-05 03:07:37,2023-01-01 03:28:25,3,6.78
2023-01-05 04:20:54,2023-01-01 04:34:30,1,2.34
2023-01-05 03:03:35,2023-01-01 03:12:25,1,3.20
2023-01-05 03:26:34,2023-01-01 03:28:49,1,0.00
2023-01-05 03:16:26,2023-01-01 03:44:51,1,3.49
2023-01-05 03:11:11,2023-01-01 03:11:15,1,0.02
2023-01-05 03:06:36,2023-01-01 03:16:39,1,1.62
2023-01-05 03:47:45,2023-01-01 03:59:56,1,4.05
2023-01-05 03:31:30,2023-01-01 04:01:04,1,6.65
2023-01-05 03:34:40,2023-01-01 03:34:45,3,0.00
2023-01-05 02:58:07,2023-01-01 03:04:41,6,1.53
2023-01-05 03:11:48,2023-01-01 03:12:31,1,0.00
2023-01-05 03:19:20,2023-01-01 03:27:36,2,1.28
2023-01-05 03:07:45,2023-01-01 03:21:50,5,2.00
2023-01-05 03:09:41,2023-01-01 03:22:09,1,1.11
2023-01-05 03:39:38,2023-01-01 03:49:21,1,1.26
2023-01-05 03:47:15,2023-01-01 04:08:28,3,5.91
2023-01-05 03:45:36,2023-01-01 03:52:30,1,1.02
2023-01-05 03:14:01,2023-01-01 03:31:23,1,3.02
2023-01-06 03:45:57,2023-01-01 04:05:20,1,5.52
2023-01-06 03:48:48,2023-01-01 03:53:18,1,0.82
2023-01-06 03:16:19,2023-01-01 03:21:53,1,0.69
2023-01-06 03:15:28,2023-01-01 03:28:39,1,2.04
2023-01-06 03:04:31,2023-01-01 03:07:59,1,0.73
2023-01-06 03:13:30,2023-01-01 03:30:58,1,8.17
2023-01-06 03:44:23,2023-01-01 03:52:13,1,1.97
2023-01-06 03:19:58,2023-01-01 03:32:41,1,3.67
2023-01-06 03:41:04,2023-01-01 03:54:56,1,0.00
2023-01-06 03:22:41,2023-01-01 04:14:13,2,5.29
2023-01-06 03:16:39,2023-01-01 03:16:42,1,0.00
2023-01-06 03:09:23,2023-01-01 03:20:36,1,0.00
2023-01-06 03:55:21,2023-01-01 03:55:32,1,0.00
2023-01-06 03:33:20,2023-01-01 03:39:12,1,0.86
2023-01-06 04:35:58,2023-01-01 04:40:44,1,1.52
2023-01-06 04:50:07,2023-01-01 05:04:35,1,3.09
2023-01-06 04:10:25,2023-01-01 04:22:32,1,5.10
2023-01-06 04:42:07,2023-01-01 05:00:07,1,6.90
2023-01-06 04:25:49,2023-01-01 04:33:50,1,1.31
2023-01-06 04:21:35,2023-01-01 04:30:00,0,1.30
2023-01-06 04:53:28,2023-01-01 05:44:10,1,6.41
2023-01-06 04:44:12,2023-01-01 05:12:29,1,11.89
2023-01-06 04:56:36,2023-01-01 05:18:17,3,5.95
2023-01-06 04:37:26,2023-01-01 04:37:30,1,0.00
2023-01-06 04:18:51,2023-01-01 04:35:46,1,7.39
2023-01-06 04:57:31,2023-01-01 05:20:38,2,11.14
2023-01-06 04:02:21,2023-01-01 04:28:43,1,5.16
2023-01-06 04:03:36,2023-01-02 03:31:50,5,3.61
2023-01-06 04:28:24,2023-01-01 05:00:55,1,8.98
2023-01-06 04:03:13,2023-01-01 04:27:23,1,5.32
2023-01-06 04:27:54,2023-01-01 04:44:35,1,8.46
2023-01-06 04:17:12,2023-01-01 04:24:28,1,0.75
2023-01-06 04:37:45,2023-01-01 04:42:43,1,1.26
2023-01-06 03:50:22,2023-01-01 03:50:25,1,0.00
2023-01-06 04:48:17,2023-01-01 04:48:19,1,0.00
2023-01-06 04:17:32,2023-01-01 05:10:30,2,5.05
2023-01-06 04:17:31,2023-01-01 04:36:17,2,5.73
2023-01-06 04:51:22,2023-01-01 04:51:25,1,0.00
